Day,Metric
2021-05-10,711177
2021-05-11,715148
2021-05-12,717736
2021-05-13,715670
2021-05-14,714689
2021-05-15,714666
2021-05-16,714740
2021-05-17,717917
2021-05-18,720126
2021-05-19,720131
2021-05-20,718025
2021-05-21,715114
2021-05-22,714744
2021-05-23,714183
2021-05-24,707893
2021-05-25,708530
2021-05-26,707889
2021-05-27,707941
2021-05-28,707978
2021-05-29,707858
2021-05-30,707921
2021-05-31,705830
2021-06-01,707943
2021-06-02,709985
2021-06-03,709708
2021-06-04,710331
2021-06-05,710356
2021-06-06,710571
2021-06-07,713812
2021-06-08,716361
2021-06-09,718115
2021-06-10,722546
2021-06-11,724494
2021-06-12,724423
2021-06-13,724399
2021-06-14,723822
2021-06-15,724629
2021-06-16,725751
2021-06-17,725884
2021-06-18,724795
2021-06-19,724596
2021-06-20,724400
2021-06-21,726054
2021-06-22,723896
2021-06-23,721974
2021-06-24,718844
2021-06-25,718295
2021-06-26,717920
2021-06-27,717494
2021-06-28,723451
2021-06-29,727177
2021-06-30,724587
2021-07-01,723014
2021-07-02,719989
2021-07-03,719330
2021-07-04,718737
2021-07-05,711318
2021-07-06,709185
2021-07-07,707949
2021-07-08,707196
2021-07-09,705937
2021-07-10,705584
2021-07-11,705357
2021-07-12,706526
2021-07-13,705860
2021-07-14,704448
2021-07-15,702793
2021-07-16,702146
2021-07-17,701828
2021-07-18,701469
2021-07-19,703993
2021-07-20,703851
2021-07-21,706177
2021-07-22,709003
2021-07-23,710229
2021-07-24,710537
2021-07-25,711068
2021-07-26,714418
2021-07-27,711110
2021-07-28,713480
2021-07-29,716157
2021-07-30,718724
2021-07-31,719419
2021-08-01,720293
2021-08-02,730721
2021-08-03,735670
2021-08-04,738967
2021-08-05,741359
2021-08-06,743296
2021-08-07,743762
2021-08-08,744417
2021-08-09,748424
2021-08-10,751462
2021-08-11,753842
2021-08-12,755602
2021-08-13,756238
2021-08-14,756573
2021-08-15,757167
2021-08-16,760865
2021-08-17,765950
2021-08-18,768069
2021-08-19,769211
2021-08-20,769549
2021-08-21,769634
2021-08-22,769643
2021-08-23,771430
2021-08-24,772162
2021-08-25,773608
2021-08-26,774425
2021-08-27,774147
2021-08-28,774087
2021-08-29,774014
2021-08-30,773305
2021-08-31,774033
2021-09-01,775840
2021-09-02,777382
2021-09-03,777254
2021-09-04,777188
2021-09-05,777098
2021-09-06,773011
2021-09-07,775023
2021-09-08,778208
2021-09-09,780545
2021-09-10,781367
2021-09-11,781557
2021-09-12,781944
2021-09-13,786287
2021-09-14,788553
2021-09-15,790012
2021-09-16,791270
2021-09-17,792642
2021-09-18,792935
2021-09-19,793179
2021-09-20,794521
2021-09-21,795711
2021-09-22,796841
2021-09-23,797279
2021-09-24,797390
2021-09-25,797370
2021-09-26,797603
2021-09-27,800546
2021-09-28,801175
2021-09-29,801531
2021-09-30,801323
2021-10-01,802285
2021-10-02,802436
2021-10-03,802847
2021-10-04,810317
2021-10-05,812221
2021-10-06,812814
2021-10-07,812717
2021-10-08,813672
2021-10-09,814001
2021-10-10,814128
2021-10-11,811789
2021-10-12,812320
2021-10-13,813293
2021-10-14,813053
2021-10-15,811087
2021-10-16,811000
2021-10-17,811443
2021-10-18,813505
2021-10-19,815430
2021-10-20,816932
2021-10-21,818097
2021-10-22,819043
2021-10-23,819163
2021-10-24,819095
2021-10-25,819658
2021-10-26,820192
2021-10-27,820636
2021-10-28,820439
2021-10-29,820046
2021-10-30,820070
2021-10-31,820038
2021-11-01,817670
2021-11-02,817689
2021-11-03,817643
2021-11-04,815796
2021-11-05,814035
2021-11-06,813776
2021-11-07,813872
2021-11-08,817678
2021-11-09,818849
2021-11-10,818962
2021-11-11,818222
2021-11-12,819772
2021-11-13,819973
2021-11-14,819767
2021-11-15,819052
2021-11-16,819952
2021-11-17,820589
2021-11-18,820828
2021-11-19,820322
2021-11-20,820245
2021-11-21,820525
2021-11-22,820315
2021-11-23,819574
2021-11-24,816780
2021-11-25,811098
2021-11-26,805752
2021-11-27,805504
2021-11-28,805590
2021-11-29,810190
2021-11-30,811549
2021-12-01,812953
2021-12-02,816463
2021-12-03,818724
2021-12-04,819032
2021-12-05,819107
2021-12-06,819767
2021-12-07,820561
2021-12-08,820700
2021-12-09,823352
2021-12-10,823546
2021-12-11,823469
2021-12-12,823551
2021-12-13,825634
2021-12-14,825661
2021-12-15,825325
2021-12-16,823707
2021-12-17,822026
2021-12-18,821964
2021-12-19,821705
2021-12-20,819979
2021-12-21,816759
2021-12-22,812930
2021-12-23,809529
2021-12-24,800834
2021-12-25,799946
2021-12-26,798671
2021-12-27,783658
2021-12-28,768485
2021-12-29,753684
2021-12-30,736558
2021-12-31,717998
2022-01-01,716507
2022-01-02,715307
2022-01-03,708446
2022-01-04,708564
2022-01-05,709721
2022-01-06,707354
2022-01-07,706890
2022-01-08,706985
2022-01-09,707325
2022-01-10,711367
2022-01-11,715387
2022-01-12,719112
2022-01-13,723721
2022-01-14,726840
2022-01-15,727281
2022-01-16,728119
2022-01-17,733263
2022-01-18,744709
2022-01-19,758551
2022-01-20,774861
2022-01-21,794471
2022-01-22,796318
2022-01-23,798248
2022-01-24,821085
2022-01-25,840742
2022-01-26,856186
2022-01-27,875517
2022-01-28,894919
2022-01-29,896700
2022-01-30,898053
2022-01-31,909912
2022-02-01,915923
2022-02-02,922272
2022-02-03,929668
2022-02-04,934225
2022-02-05,934588
2022-02-06,934864
2022-02-07,941451
2022-02-08,946638
2022-02-09,951564
2022-02-10,955988
2022-02-11,959463
2022-02-12,959553
2022-02-13,959857
2022-02-14,967506
2022-02-15,971427
2022-02-16,974215
2022-02-17,977218
2022-02-18,978393
2022-02-19,978554
2022-02-20,978901
2022-02-21,978152
2022-02-22,981543
2022-02-23,986588
2022-02-24,986587
2022-02-25,986102
2022-02-26,985979
2022-02-27,986190
2022-02-28,987450
2022-03-01,988706
2022-03-02,990784
2022-03-03,992008
2022-03-04,992716
2022-03-05,993036
2022-03-06,993174
2022-03-07,993734
2022-03-08,993706
2022-03-09,994302
2022-03-10,994925
2022-03-11,994872
2022-03-12,994999
2022-03-13,994934
2022-03-14,996511
2022-03-15,996796
2022-03-16,996409
2022-03-17,994681
2022-03-18,991304
2022-03-19,990832
2022-03-20,990627
2022-03-21,993804
2022-03-22,993897
2022-03-23,995615
2022-03-24,997818
2022-03-25,998549
2022-03-26,998430
2022-03-27,998494
2022-03-28,1003244
2022-03-29,1007869
2022-03-30,1010383
2022-03-31,1012401
2022-04-01,1013913
2022-04-02,1013808
2022-04-03,1014090
2022-04-04,1020003
2022-04-05,1025383
2022-04-06,1029454
2022-04-07,1033621
2022-04-08,1037052
2022-04-09,1037157
2022-04-10,1037541
2022-04-11,1043031
2022-04-12,1046201
2022-04-13,1048422
2022-04-14,1047242
2022-04-15,1039819
2022-04-16,1039780
2022-04-17,1039011
2022-04-18,1032856
2022-04-19,1037612
2022-04-20,1040432
2022-04-21,1041884
2022-04-22,1042901
2022-04-23,1043005
2022-04-24,1042812
2022-04-25,1043385
2022-04-26,1045921
2022-04-27,1046548
2022-04-28,1047004
2022-04-29,1046587
2022-04-30,1046360
2022-05-01,1045918
2022-05-02,1039692
2022-05-03,1036977
2022-05-04,1036849
2022-05-05,1035402
2022-05-06,1033682
2022-05-07,1033576
2022-05-08,1033132
2022-05-09,1034397
2022-05-10,1036939
2022-05-11,1040492
2022-05-12,1046763
2022-05-13,1059255
2022-05-14,1059615
2022-05-15,1060409
2022-05-16,1072666
2022-05-17,1074556
2022-05-18,1075824
2022-05-19,1077626
2022-05-20,1078691
2022-05-21,1078766
2022-05-22,1079058
2022-05-23,1082925
2022-05-24,1085168
2022-05-25,1086846
2022-05-26,1083634
2022-05-27,1081845
2022-05-28,1081689
2022-05-29,1081845
2022-05-30,1083934
2022-05-31,1092202
2022-06-01,1095798
2022-06-02,1097976
2022-06-03,1097876
2022-06-04,1097750
2022-06-05,1097600
2022-06-06,1097170
2022-06-07,1101718
2022-06-08,1104945
2022-06-09,1106563
2022-06-10,1107014
2022-06-11,1107022
2022-06-12,1107071
2022-06-13,1108928
